"id","name","sub_category"
"90006137","Chiquita bananen","Banaan, appel & peer"
"90006132","Bananen","Banaan, appel & peer"
"90006052","Pink lady appels","Banaan, appel & peer"
"90006122","Elstar appels","Banaan, appel & peer"
"90006051","Conference peren (voordeel verpakking)","Banaan, appel & peer"
"90006036","Conference peren","Banaan, appel & peer"
"11299303","Blauwe bessen","Rood fruit, bessen & kersen"
"90006060","Blauwe bessen","Rood fruit, bessen & kersen"
"10075943","Hollandse aardbeien","Rood fruit, bessen & kersen"
"90006056","Hollandse aardbeien","Rood fruit, bessen & kersen"
"10467888","Kersen","Rood fruit, bessen & kersen"
"90006054","Frambozen","Rood fruit, bessen & kersen"
"10074656","Mandarijnen","Sinaasappel & citrus"
"11288847","Minneola","Sinaasappel & citrus"
"10561650","Friszoete perssinaasappelen","Sinaasappel & citrus"
"90006069","Grapefruits","Sinaasappel & citrus"
"90006065","Limoenen","Sinaasappel & citrus"
"10074682","Citroenen","Sinaasappel & citrus"
"10574633","Pitloze witte druiven","Kiwi, druif & mango"
"10467798","Pitloze blauwe druiven","Kiwi, druif & mango"
"11298251","Pitloze witte druiven","Kiwi, druif & mango"
"90006047","Kiwi sungold","Kiwi, druif & mango"
"90006079","Zespri kiwi green","Kiwi, druif & mango"
"90006049","Mango (eetrijp)","Kiwi, druif & mango"
"10467658","Ananas","Ananas, meloen & passiefruit"
"10467838","Galia meloen","Ananas, meloen & passiefruit"
"10556948","Mini watermeloen","Ananas, meloen & passiefruit"
"10551548","Cantaloupe meloen","Ananas, meloen & passiefruit"
"11382825","Gwanipa meloen","Ananas, meloen & passiefruit"
"90006062","Passievrucht","Ananas, meloen & passiefruit"
"11299998","Nectarines","Nectarine, perzik & abrikoos"
"10467708","Wilde perziken","Nectarine, perzik & abrikoos"
"10467719","Perziken","Nectarine, perzik & abrikoos"
"10529638","Abrikozen","Nectarine, perzik & abrikoos"
"90006115","Pruimen Pluyot","Nectarine, perzik & abrikoos"
"90006086","Granaatappelpitjes","Gesneden fruit"
"90006085","Luxe fruitmix","Gesneden fruit"
"90006088","Mango blokjes","Gesneden fruit"
"90006090","Watermeloen blokjes","Gesneden fruit"
"90006083","Ananas blokjes","Gesneden fruit"
"11327434","Fruitbowl","Gesneden fruit"
"90006106","Kruimige aardappelen","Aardappelen ongeschild"
"90006101","Kruimige aardappelen","Aardappelen ongeschild"
"90006104","Zoete aardappelen","Aardappelen ongeschild"
"90006140","Roseval aardappelen","Aardappelen ongeschild"
"90006118","Vastkokende aardappelen","Aardappelen ongeschild"
"90006075","Voordeel aardappelen","Aardappelen ongeschild"
"10074399","Aardappelpartjes met schil","Aardappelen geschild"
"10074776","Kruimige aardappelen","Aardappelen geschild"
"10074669","Aardappelschijfjes","Aardappelen geschild"
"10074665","Fijne mini krieltjes","Aardappelen geschild"
"10075079","Zoete aardappel friet","Aardappelen geschild"
"10074789","Aardappelgratin met kaas","Aardappelen geschild"
"90006010","Bio zoetzure cherrytomaatjes","Komkommer, tomaat & avocado"
"90006093","Snack pruim tomaten","Komkommer, tomaat & avocado"
"10573488","Komkommer","Komkommer, tomaat & avocado"
"90006091","Snack komkommers","Komkommer, tomaat & avocado"
"90006009","Eetrijpe avocado","Komkommer, tomaat & avocado"
"90006001","Bio avocado eetrijp","Komkommer, tomaat & avocado"
"11295128","Paprika mix","Paprika, courgette & aubergine"
"10468928","Rode paprika","Paprika, courgette & aubergine"
"10571588","Zoete puntpaprika","Paprika, courgette & aubergine"
"10467898","Courgette","Paprika, courgette & aubergine"
"90006033","Bio courgette","Paprika, courgette & aubergine"
"10467828","Aubergine","Paprika, courgette & aubergine"
"10074561","Broccoli","Broccoli, bloemkool & bimi"
"10074854","Broccoliroosjes","Broccoli, bloemkool & bimi"
"10468008","Bloemkool","Broccoli, bloemkool & bimi"
"11296036","Mini bloemkool & broccoli","Broccoli, bloemkool & bimi"
"90006000","Bimi","Broccoli, bloemkool & bimi"
"90006119","Romanesco bloemkool","Broccoli, bloemkool & bimi"
"10075977","Sla speciaal mix","Slakroppen, sla & mixen"
"10075917","Rucola melange","Slakroppen, sla & mixen"
"10075995","IJsbergsla","Slakroppen, sla & mixen"
"10075916","Rucola","Slakroppen, sla & mixen"
"10467848","IJsbergsla","Slakroppen, sla & mixen"
"11384999","Alfalfa","Slakroppen, sla & mixen"
"90006022","Groene asperges","Asperges & bonen"
"90006020","Fijne groene aspergetips","Asperges & bonen"
"90006082","Sugar snaps","Asperges & bonen"
"90006081","Peulen","Asperges & bonen"
"90006002","Sperziebonen","Asperges & bonen"
"10074717","Voorgegaarde maïs","Asperges & bonen"
"10550128","Uien","Ui, prei & knoflook"
"10075950","Lichtzoete rode uien","Ui, prei & knoflook"
"90006011","Prei","Ui, prei & knoflook"
"10467818","Bleekselderij","Ui, prei & knoflook"
"10465898","Knoflook","Ui, prei & knoflook"
"10468158","Bosui","Ui, prei & knoflook"
"11299376","Ovengroenten gekleurde wortel","Wortel, radijs & bieten"
"90006095","Waspeen","Wortel, radijs & bieten"
"10462008","Stevige winterpeen","Wortel, radijs & bieten"
"90006124","Bio pastinaak","Wortel, radijs & bieten"
"10697318","Bosje radijs","Wortel, radijs & bieten"
"10443328","Gekookte bieten","Wortel, radijs & bieten"
"10573498","Kleine witte champignons","Paddenstoelen & pompoen"
"10558988","Kastanje champignons","Paddenstoelen & pompoen"
"10074113","Middelgrote witte champignons","Paddenstoelen & pompoen"
"10074382","Rijke paddenstoelenmix","Paddenstoelen & pompoen"
"10074882","Kastanje champignons gesneden","Paddenstoelen & pompoen"
"90006064","Flespompoen","Paddenstoelen & pompoen"
"10074490","Witlof","Witlof, andijvie & kool"
"10075935","Grof gesneden andijvie","Witlof, andijvie & kool"
"10764124","Spitskool","Witlof, andijvie & kool"
"10467868","Paksoi","Witlof, andijvie & kool"
"10075063","Gewassen spinazie","Witlof, andijvie & kool"
"10553008","Venkelknol","Witlof, andijvie & kool"
"10075909","Italiaanse roerbakgroenten","Gesneden groente"
"10075949","Bami/nasi groenten","Gesneden groente"
"10075053","Soepgroente fijn (voordeel)","Gesneden groente"
"10075021","Bloemkoolrijst","Gesneden groente"
"10075934","Geschrapte snack wortel","Gesneden groente"
"11299400","Gebroken sperziebonen","Gesneden groente"
"10074786","Koriander","Verse kruiden"
"10074799","Munt","Verse kruiden"
"10576770","Bio basilicum in pot","Verse kruiden"
"10565056","Bio munt in pot","Verse kruiden"
"90006072","Bio gember","Verse kruiden"
"90006063","Rode peper","Verse kruiden"
"10298502","Kipsaté","Barbecue"
"11294409","Spareribs gemarineerd gegaard","Barbecue"
"11329386","Spareribs vers naturel","Barbecue"
"11297608","Garnalenspiesen knoflook","Barbecue"
"10761284","Zalmfiletspiesen gemarineerd","Barbecue"
"10761491","Visburger","Barbecue"
"10281919","Rundergehakt","Gehakt"
"10281918","Rundergehakt","Gehakt"
"10281999","Gemengd gehakt","Gehakt"
"10281998","Gemengd gehakt","Gehakt"
"10298708","Kipgehakt","Gehakt"
"11295255","Kipgehakt gekruid","Gehakt"
"11323777","Runderhamburgers","Burgers"
"10289938","Runderhamburger","Burgers"
"10288638","Kipburger","Burgers"
"11298250","Kipburgers vers gekruid","Burgers"
"11281697","Jagerburger","Burgers"
"11296419","Curryburger","Burgers"
"10298788","Kipdijfilet","Kip & kalkoen"
"10298634","Kipfilet blokjes","Kip & kalkoen"
"10288688","Kipschnitzel krokant","Kip & kalkoen"
"10298420","Kipdrumsticks gekruid","Kip & kalkoen"
"10298473","Kipfilet","Kip & kalkoen"
"10298538","Kipsaucijzen","Kip & kalkoen"
"10284988","Biefstuk","Rundvlees"
"10291906","Bio runderchipolata","Rundvlees"
"10281948","Rundertartaar","Rundvlees"
"11329382","Biefstukreepjes","Rundvlees"
"10289118","Rundervinken","Rundvlees"
"10284078","Runderriblappen","Rundvlees"
"10286178","Varkenshaas","Varkensvlees"
"10286078","Shoarmareepjes varken","Varkensvlees"
"10286019","Speklap gemarineerd","Varkensvlees"
"10289008","Slavinken","Varkensvlees"
"10286119","Varkensschnitzel gepaneerd","Varkensvlees"
"11296460","Varkenssaucijzen","Varkensvlees"
"10761082","Zalmfilet op huid","Verse & gerookte vis"
"10761480","Pangasius citroen dille","Verse & gerookte vis"
"10761476","Verse kabeljauw","Verse & gerookte vis"
"10761481","Gerookte Atlantische zalm","Verse & gerookte vis"
"10761479","Verse tilapiafilet","Verse & gerookte vis"
"10576928","Hollandse Nieuwe haring","Verse & gerookte vis"
"10562812","Vismarine verse roze garnalen","Schaal- & schelpdieren"
"10562848","Vismarine verse Hollandse garnalen","Schaal- & schelpdieren"
"10204099","Premier mosselen","Schaal- & schelpdieren"
"11384807","Gekookt mosselvlees","Schaal- & schelpdieren"
"90000960","Vongole schelpen","Schaal- & schelpdieren"
"90000963","Wakamesalade","Schaal- & schelpdieren"
"10272919","Vivera vega groenteschijf","Vegetarisch"
"11290917","Garden Gourmet falafel classic","Vegetarisch"
"10272908","Valess filet Milner","Vegetarisch"
"10272928","Vivera vega balletjes","Vegetarisch"
"10272912","Vivera vega kruimgehakt","Vegetarisch"
"10272968","Bio+ tofu","Vegetarisch"
"10298475","Wahid halal kipfilet","Halal"
"90003011","Wahid halal kipkrokantschnitzel","Halal"
"90003012","Wahid halal rundergehakt","Halal"
"90003014","Wahid halal merguezes","Halal"
"90003013","Wahid halal beefburger","Halal"
"10725992","Heel boeren waldkorn brood","Brood"
"10725982","Heel fijn volkoren brood","Brood"
"10725997","Heel boeren maïs brood","Brood"
"10725922","Half boeren maïs brood","Brood"
"10725984","Heel boeren tijger wit brood","Brood"
"10725989","Heel rond wit brood","Brood"
"10626488","Tarwebollen","Bolletjes & puntjes"
"11294402","Volkoren puntjes","Bolletjes & puntjes"
"10636328","Witte bollen","Bolletjes & puntjes"
"10636398","Witte puntjes","Bolletjes & puntjes"
"10636468","Rozijnen krentenbollen","Bolletjes & puntjes"
"11294397","Brioche bollen XL","Bolletjes & puntjes"
"10530749","Suikerbrood","Zoet- & roggebrood"
"11297631","Luxe suikerbrood","Zoet- & roggebrood"
"10724373","Mueslibollen","Zoet- & roggebrood"
"10637258","Rozijnenbrood","Zoet- & roggebrood"
"10724232","Mueslibrood","Zoet- & roggebrood"
"10584299","Bolletje Fries roggebrood","Zoet- & roggebrood"
"10724484","Appelcake","Banket & patisserie"
"10714434","Ambachtelijke boterkoek","Banket & patisserie"
"10629068","Halve appeltaart","Banket & patisserie"
"10622358","Slagroomsoesjes","Banket & patisserie"
"10529890","Tompoucen","Banket & patisserie"
"10637068","Choco slagroom bol","Banket & patisserie"
"10724747","Smulslof om zelf te versieren","Verse bakkersspecialiteiten"
"11296594","Rozijn cranberry bundt cake Picnic","Verse bakkersspecialiteiten"
"90000663","Verse eierkoeken","Verse bakkersspecialiteiten"
"11327410","Bakkers boterkoek blokjes","Verse bakkersspecialiteiten"
"90001911","Brabantsche worstenbroodjes","Verse bakkersspecialiteiten"
"10715043","Ontbijtkoek vers","Verse bakkersspecialiteiten"
"10511687","G'woon afbak roomboter croissants","Afbakbroodjes"
"10618868","Danerolles afbak croissants medium","Afbakbroodjes"
"10511693","G'woon afbak kaiserbroodjes","Afbakbroodjes"
"10657608","Afbak baguette kruidenboter","Afbakbroodjes"
"10762322","Boboli focaccia kruidenboter mozzarella","Afbakbroodjes"
"10511602","G'woon afbak worstenbroodjes","Afbakbroodjes"
"90003291","Yam glutenvrij licht meerzaden","Glutenvrij"
"90003288","Yam bio glutenvrij desem ongesneden","Glutenvrij"
"90003290","Yam glutenvrij donker meerzaden","Glutenvrij"
"10525155","Schär ciabatta glutenvrij","Glutenvrij"
"10873783","Lisa's Choice stokbroodjes glutenvrij diepvries","Glutenvrij"
"90002721","Lisa's Choice bio sesamtoastjes glutenvrij","Glutenvrij"
"11293150","Picnic eitjes 3 ster beter leven","Eieren"
"10761800","Bio eieren klasse M","Eieren"
"11293151","Picnic eitjes 3 ster beter leven","Eieren"
"10764031","Scharreleieren klasse M","Eieren"
"10764022","Scharreleieren klasse M","Eieren"
"10764023","Scharreleieren klasse L","Eieren"
"10575111","Halfvolle melk","Melk & karnemelk"
"10562977","Melkan volle melk","Melk & karnemelk"
"10760327","Melkan magere melk 0% vet","Melk & karnemelk"
"10562319","Zuivel Meester karnemelk","Melk & karnemelk"
"10768796","Den Eelder geitenmelk","Melk & karnemelk"
"10844029","Halfvolle melk houdbaar","Melk & karnemelk"
"10440028","Optimel yoghurtdrink framboos 0% vet","Drinkyoghurt"
"10768786","Optimel yoghurtdrink mango passie 0% vet","Drinkyoghurt"
"10762360","Arla bio kefir","Drinkyoghurt"
"10768225","Arla bio drinkyoghurt framboos zwarte bes","Drinkyoghurt"
"10913238","Bonomel drinkyoghurt aardbei","Drinkyoghurt"
"10510616","Optimel langlekker aardbei framboos 0% vet","Drinkyoghurt"
"10968864","Chocomel vol","Chocolademelk"
"10511522","Melkan chocolademelk vol","Chocolademelk"
"10968861","Chocomel halfvol","Chocolademelk"
"10511669","Melkan chocolademelk halfvol","Chocolademelk"
"10952747","Chocomel 0% suiker toegevoegd","Chocolademelk"
"10964837","Chocomel vol pakjes","Chocolademelk"
"10545972","Alpro haverdrink ongezoet","Plantaardige zuivel"
"10511855","Melkan amandel drink ongezoet","Plantaardige zuivel"
"10927858","Alpro soja drink original","Plantaardige zuivel"
"10510766","Alpro kokos drink","Plantaardige zuivel"
"10597154","Alpro rijstdrink","Plantaardige zuivel"
"10761184","Alpro mild & creamy nature ongezoet","Plantaardige zuivel"
"10760230","Topvit drinkontbijt aardbei kiwi banaan","Drinkontbijt & probiotica"
"11290806","Vifit Goedemorgen drink kiwi aardbei banaan","Drinkontbijt & probiotica"
"10560452","Breaker aardbei","Drinkontbijt & probiotica"
"10760476","Yakult","Drinkontbijt & probiotica"
"10561113","Activia yoghurt aardbei","Drinkontbijt & probiotica"
"90001711","Vifit Sport chocola mokka drink","Drinkontbijt & probiotica"
"10567279","Melkan volle yoghurt","Yoghurt"
"10164088","Melkan halfvolle vanille yoghurt","Yoghurt"
"10444046","Zuivelhoeve boerenyoghurt aardbei","Yoghurt"
"10762927","Zuivel Meester yoghurt Griekse stijl","Yoghurt"
"10760865","Skyr naturel","Yoghurt"
"10763900","Zuivel Meester yoghurt Griekse stijl aardbei","Yoghurt"
"10564712","Melkan magere Franse kwark","Kwark"
"10760241","Melkan volle kwark naturel","Kwark"
"10559738","Almhof volle kwark citroen","Kwark"
"10961848","Almhof volle kwark aardbeien","Kwark"
"10762830","Melkunie protein kwark aardbei","Kwark"
"10469098","Almhof volle kwark vanille","Kwark"
"10574142","Zuivel Meester vanillevla","Vla, pap & variaties"
"10503784","Melkan vanillevla","Vla, pap & variaties"
"10764891","Melkan dubbelvla vanille chocola","Vla, pap & variaties"
"10760634","Melkan chocoladevla","Vla, pap & variaties"
"10760983","Melkunie havermoutpap","Vla, pap & variaties"
"10760143","Melkunie griesmeelpap","Vla, pap & variaties"
"10760053","Cornetto classico","Toetjes & porties"
"10762072","G'woon banketbakkers roomijs","Toetjes & porties"
"10768968","Raket ijsjes","Toetjes & porties"
"10574802","Ehrmann grand dessert chocola","Toetjes & porties"
"10760696","Toetie Monsters kinderkwark medium","Toetjes & porties"
"10562197","Almhof chocolademousse melk","Toetjes & porties"
"10564710","Melkan crème fraîche","Room & crème fraîche"
"10568662","Melkan crème fraîche","Room & crème fraîche"
"10760804","Melkan kookroom","Room & crème fraîche"
"10563253","Campina kookroom light","Room & crème fraîche"
"10564669","Melkan verse slagroom","Room & crème fraîche"
"10547139","Campina echte slagroom","Room & crème fraîche"
"10564503","Roomboter","Boter & braden"
"10603548","Becel halvarine light","Boter & braden"
"10989148","Becel margarine original 100% plantaardig","Boter & braden"
"10563849","Croma bak & braad","Boter & braden"
"10564974","G'woon bak & braad culinair vloeibaar","Boter & braden"
"10760274","Kruidenboter","Boter & braden"
"10254968","Gerookte kipfilet","Gesneden vleeswaren"
"10575466","Gelderse schouderham","Gesneden vleeswaren"
"10254079","Salami","Gesneden vleeswaren"
"10761758","Runderrookvlees","Gesneden vleeswaren"
"10574519","Licht gerookte spekreepjes","Stukken & blokjes vleeswaren"
"10761750","Bacon Specialist spekreepjes gerookt","Stukken & blokjes vleeswaren"
"10561050","Hamblokjes","Stukken & blokjes vleeswaren"
"10551938","Zandvliet Gelderse kookworst","Stukken & blokjes vleeswaren"
"10761878","Filet americain","Filet americain & smeerworst"
"10574091","Filet americain naturel","Filet americain & smeerworst"
"10761136","Kips kleintje smeerleverworst","Filet americain & smeerworst"
"10765163","Saksische smeerleverworst","Filet americain & smeerworst"
"10765146","Likkepot","Filet americain & smeerworst"
"10562429","Crèmepaté","Filet americain & smeerworst"
"90003000","Wahid halal kipfilet naturel","Halal vleeswaren"
"90003005","Wahid halal kalkoenham","Halal vleeswaren"
"90003002","Wahid halal kipfilet Provence","Halal vleeswaren"
"90003003","Wahid halal rundersalami","Halal vleeswaren"
"90003007","Wahid halal smeerleverworst","Halal vleeswaren"
"90003001","Wahid halal boterhamworst","Halal vleeswaren"
"10241842","Vegetarische Slager petit filet","Vegetarische vleeswaren"
"10241843","Vegetarische Slager petit paté","Vegetarische vleeswaren"
"10272969","Vivera vega paté","Vegetarische vleeswaren"
"10241849","Vegetarische Slager boterhamworst","Vegetarische vleeswaren"
"10241841","Vegetarische Slager kipworst","Vegetarische vleeswaren"
"10252057","Vegetarische Slager Spaanse worst","Vegetarische vleeswaren"
"10760505","Uniekaas belegen kaas","Stukken kaas"
"10762931","Melkan weidekaas jong","Stukken kaas"
"10760504","Uniekaas jong belegen kaas","Stukken kaas"
"10760130","Old Amsterdam oude kaas","Stukken kaas"
"10568981","Milner belegen kaas 30+ stuk","Stukken kaas"
"10761841","Jong belegen geitenkaas 50+","Stukken kaas"
"10760618","Melkan jonge kaas plakken","Plakken kaas"
"10760358","Hollandse jong belegen kaas plakken","Plakken kaas"
"10762051","Beemster belegen kaas plakken 48+","Plakken kaas"
"10761906","Beemster oude kaas plakken","Plakken kaas"
"10565973","Milner jong belegen kaas 30+ plakken","Plakken kaas"
"10761844","Picnic geitenkaas jong belegen","Plakken kaas"
"10761956","Eru smeerkaas goudkuipje naturel","Smeerkaas & zuivelspread"
"10560166","Bon Appetit smeerkaas naturel 48+","Smeerkaas & zuivelspread"
"10768502","Paturain kruidenkaas met knoflook","Smeerkaas & zuivelspread"
"10761046","Philadelphia zuivelspread naturel","Smeerkaas & zuivelspread"
"10618858","Danone hüttenkäse","Smeerkaas & zuivelspread"
"10760716","Boursin cuisine knoflook & kruiden","Smeerkaas & zuivelspread"
"10760874","Melkan geraspte jong belegen kaas 30+","Geraspte kaas & blokjes"
"10761954","Geraspte milde kaas","Geraspte kaas & blokjes"
"10760872","Melkan geraspte oude kaas","Geraspte kaas & blokjes"
"10760905","Parrano geraspte kaas","Geraspte kaas & blokjes"
"10760870","Melkan jong belegen kaasblokjes","Geraspte kaas & blokjes"
"10760236","Babybel mini kaas","Geraspte kaas & blokjes"
"10762990","Parmezaanse kaas","Kook- & saladekazen"
"10503669","Griekse feta kaas","Kook- & saladekazen"
"10765597","Mozzarella","Kook- & saladekazen"
"10762914","Plakken cheddar kaas","Kook- & saladekazen"
"10760147","Galbani mascarpone","Kook- & saladekazen"
"10760158","Galbani Italiaanse ricotta","Kook- & saladekazen"
"10767262","Président romige brie 60+","Buitenlandse kazen"
"10761869","Gorgonzola smeuig blauwgeaderd","Buitenlandse kazen"
"11298368","Port salut","Buitenlandse kazen"
"10761861","Zachte geitenkaas met honing","Buitenlandse kazen"
"10772979","Pecorino","Buitenlandse kazen"
"10762999","Manchego milde Spaanse schapenkaas","Buitenlandse kazen"
"10761152","Maza hoemoes naturel","Hummus & broodsalades"
"10754990","Johma tonijnsalade","Hummus & broodsalades"
"10760657","Kip kerrie salade vers","Hummus & broodsalades"
"10768581","Johma beenhamsalade","Hummus & broodsalades"
"10760669","Scharrelei bieslook salade vers","Hummus & broodsalades"
"10761045","Johma oude kaas salade","Hummus & broodsalades"
"10772973","Kaasplateau mild","Olijven, tapas & borrel"
"10760735","Verse olijven met knoflook","Olijven, tapas & borrel"
"10768120","Chovi allioli vers","Olijven, tapas & borrel"
"10760743","Verse groene pesto","Olijven, tapas & borrel"
"10761928","Huls chorizo","Olijven, tapas & borrel"
"10762085","Waarlandse blokjes extra belegen","Olijven, tapas & borrel"
"10512792","Quaker havermout","Havermout & pap"
"10572577","Havermout vlokken","Havermout & pap"
"10543799","G'woon havermout","Havermout & pap"
"10584936","Brinta volkoren graanontbijt","Havermout & pap"
"10584942","Brinta Wake Up banaan","Havermout & pap"
"10969729","Brinta Wake Up naturel","Havermout & pap"
"10584374","Quaker cruesli chocolade","Muesli & granola"
"10543523","G'woon krokante muesli 4 noten","Muesli & granola"
"10589171","Zonnatura bio muesli rijkgevuld","Muesli & granola"
"10565066","Van Zoelen muesli rozijnen","Muesli & granola"
"10512231","Eat Natural granola amandel zaden honing","Muesli & granola"
