id,name,active,description,timestamp,weight_unit_g,kcals,protein,fat,carb,fiber,water,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,manganese,selenium,vitaminc,thiamin,riboflavin,niacin,pantothenicacid,vitaminb6,folate,choline,vitaminb12,vitamina,vitamine,vitamind,vitamink,ala183und,la182und,monofat,polyfat,satfat,transfat,phenylalanine,valine,threonine,tryptophan,methionine,leucine,isoleucine,lysine,histidine
16016,C. Black beans,1,Beans. black turtle. mature seeds. raw,,,339,21,1,63,16,11,160,9,160,440,1500,9,2,1,1,3,0,1,0,2,1,0,444,0,0,0,0,0,6,0.2,0.2,0.1,0.4,0.2,0.0,1.1,1.1,0.9,0.3,0.3,1.7,0.9,1.5,0.6
18053,C. Bread. rye,1,Bread. reduced-calorie. rye,,,203,9,3,41,12,46,76,3,22,78,98,513,1,0,0,28,0,0,0,3,0,0,58,15,0,0,0,0,1,0.0,0.7,0.7,0.8,0.4,0,0.5,0.4,0.3,0.1,0.2,0.6,0.4,0.3,0.2
18075,C. Bread. whole-wheat,1,Bread. whole-wheat. commercially prepared,,,252,12,4,43,6,39,161,2,75,212,254,455,2,0,2,26,0,0,0,4,1,0,42,27,0,0,3,0,8,0.1,1.4,0.6,1.6,0.7,0.0,0,0,0,0,0,0,0,0,0
20012,C. Bulgur,1,Bulgur. dry,,,342,12,1,76,13,9,35,2,164,300,410,17,2,0,3,2,0,0,0,5,1,0,27,28,0,0,0,0,2,0.0,0.5,0.2,0.5,0.2,0,0.6,0.6,0.4,0.2,0.2,0.8,0.5,0.3,0.3
16056,C. Chickpeas (garbanzo),1,Chickpeas (garbanzo beans. bengal gram). mature seeds. raw,,,378,20,6,63,12,8,57,4,79,252,718,24,3,1,21,0,4,0,0,2,2,1,557,99,0,3,1,0,9,0.1,2.6,1.4,2.7,0.6,0.0,1.1,0.9,0.8,0.2,0.3,1.5,0.9,1.4,0.6
18363,C. Corn tortilla,1,Tortillas. ready-to-bake or -fry. corn,,,218,6,3,45,6,46,81,1,72,314,186,45,1,0,0,6,0,0,0,1,0,0,5,13,0,0,0,0,0,0.0,1.4,0.7,1.4,0.5,0,0.3,0.3,0.2,0.0,0.1,0.7,0.2,0.2,0.2
20028,C. Couscous,1,Couscous. dry,,,376,13,1,77,5,9,24,1,44,170,166,10,1,0,1,0,0,0,0,3,1,0,20,0,0,0,0,0,0,0.0,0.2,0.1,0.3,0.1,0,0.6,0.5,0.3,0.2,0.2,0.9,0.5,0.2,0.3
16062,C. Cowpeas,1,Cowpeas. common (blackeyes. crowder. southern). mature seeds. raw,,,336,24,1,60,11,12,110,8,184,424,1112,16,3,1,2,9,2,1,0,2,1,0,633,95,0,3,0,0,5,0.2,0.3,0.1,0.5,0.3,0.0,1.4,1.1,0.9,0.3,0.3,1.8,1.0,1.6,0.7
08037,C. Granola cereals,1,Cereals ready-to-eat. granola. homemade,,,489,14,24,54,9,6,76,4,168,431,539,26,4,1,4,25,1,1,0,3,1,0,84,49,0,1,11,0,5,0.6,7.2,11.0,7.8,4.0,0.0,0.7,0.7,0.5,0.2,0.2,1.0,0.5,0.6,0.3
16027,C. Kidney beans,1,Beans. kidney. all types. mature seeds. raw,,,333,24,1,60,25,12,143,8,140,407,1406,24,3,1,1,3,5,1,0,2,1,0,394,0,0,0,0,0,19,0.3,0.2,0.1,0.5,0.1,0.0,1.3,1.2,1.0,0.3,0.4,1.9,1.0,1.6,0.7
16070,C. Lentils. cooked,1,Lentils. mature seeds. cooked. boiled. without salt,,,116,9,0,20,8,70,19,3,36,180,369,2,1,0,0,3,2,0,0,1,1,0,181,33,0,0,0,0,2,0.0,0.1,0.1,0.2,0.1,0.0,0.4,0.4,0.3,0.1,0.1,0.7,0.4,0.6,0.3
16074,C. Lima beans,1,Lima beans. thin seeded (baby). mature seeds. raw,,,335,21,1,63,21,12,81,6,188,370,1403,13,3,1,2,7,0,1,0,2,1,0,400,0,0,0,1,0,6,0.1,0.3,0.1,0.4,0.2,0.0,1.2,1.2,0.9,0.2,0.3,1.8,1.1,1.4,0.6
08120,C. Oats cereals,1,Cereals. oats. regular and quick. not fortified. dry,,,379,13,7,68,10,11,52,4,138,410,362,6,4,0,4,29,0,0,0,1,1,0,32,40,0,0,0,0,2,0.1,2.2,2.0,2.3,1.1,0,0.7,0.7,0.4,0.2,0.2,1.0,0.5,0.6,0.3
20420,C. Pasta,1,Pasta. dry. unenriched,,,371,13,2,75,3,10,21,1,53,189,223,6,1,0,1,63,0,0,0,2,0,0,18,0,0,0,0,0,0,0.0,0.5,0.2,0.6,0.3,0.0,0.7,0.6,0.5,0.2,0.1,1.0,0.5,0.3,0.3
16042,C. Pinto beans,1,Beans. pinto. mature seeds. raw (Includes foods for USDA's Food Distribution Program),,,347,21,1,63,16,11,113,5,176,411,1393,12,2,1,1,28,6,1,0,1,1,0,525,66,0,0,0,0,6,0.2,0.2,0.2,0.4,0.2,0.0,1.1,1.0,0.8,0.2,0.3,1.6,0.9,1.4,0.6
20035,C. Quinoa,1,Quinoa. uncooked,,,368,14,6,64,7,13,47,5,197,457,563,5,3,1,2,9,0,0,0,2,1,0,184,70,0,1,2,0,0,0.3,3.0,1.6,3.3,0.7,0,0.6,0.6,0.4,0.2,0.3,0.8,0.5,0.8,0.4
20041,C. Rice. Brown 25g c,1,Rice. brown. medium-grain. cooked (Includes foods for USDA's Food Distribution Program),,,112,2,1,24,2,73,10,1,44,77,79,1,1,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0.0,0.3,0.3,0.3,0.2,0,0.1,0.1,0.1,0.0,0.1,0.2,0.1,0.1,0.1
20452,C. Rice. white 80g c,1,Rice. white. short-grain. raw. unenriched,,,358,7,1,79,0,13,3,1,23,95,76,1,1,0,1,0,0,0,0,2,1,0,6,0,0,0,0,0,0,0.0,0.1,0.2,0.1,0.1,0,0.3,0.4,0.2,0.1,0.2,0.5,0.3,0.2,0.2
16108,C. Soybeans,1,Soybeans. mature seeds. raw,,,446,36,20,30,9,9,277,16,280,704,1797,2,5,2,3,18,6,1,1,2,1,0,375,116,0,1,1,0,47,1.3,9.9,4.4,11.3,2.9,0.0,2.1,2.0,1.8,0.6,0.5,3.3,2.0,2.7,1.1
16427,C. Tofu,1,Tofu. raw. regular. prepared with calcium sulfate,,,76,8,5,2,0,85,350,5,30,97,121,7,1,0,1,9,0,0,0,0,0,0,15,29,0,0,0,0,2,0.3,2.4,1.1,2.7,0.7,0.0,0.4,0.4,0.4,0.1,0.1,0.7,0.4,0.5,0.2
18450,C. Wheat tortilla,1,Tortillas. ready-to-bake or -fry. flour. without added calcium,,,325,9,7,56,3,27,39,3,26,124,131,478,1,0,0,23,0,1,0,4,1,0,123,0,0,0,0,0,0,0.1,1.0,3.8,1.1,1.7,0,0.4,0.4,0.2,0.1,0.2,0.6,0.3,0.2,0.2
11046,C. White beans,1,Beans. navy. mature seeds. sprouted. raw,,,67,6,1,13,0,79,15,2,101,100,307,13,1,0,0,1,19,0,0,1,1,0,132,0,0,0,0,0,0,0.3,0.1,0.1,0.4,0.1,0.0,0.3,0.3,0.3,0.1,0.1,0.4,0.3,0.4,0.2
01012,D. Cheese cottage,1,Cheese. cottage. creamed. large or small curd,,,98,11,4,3,0,80,83,0,8,159,104,315,0,0,0,10,0,0,0,0,1,0,12,18,0,37,0,0,0,0.0,0.1,0.8,0.1,1.7,0,0.6,0.7,0.5,0.1,0.3,1.1,0.6,0.9,0.3
01017,D. Cheese cream,1,Cheese. cream,,,350,6,34,6,0,53,97,0,9,107,132,314,1,0,0,9,0,0,0,0,1,0,9,27,0,308,1,0,2,0.1,1.2,8.9,1.5,20.2,1.2,0.3,0.4,0.2,0.1,0.2,0.7,0.3,0.6,0.2
43597,D. Cheese. Mozarella,1,Cheese. mozzarella. low sodium,,,280,28,17,3,0,50,731,0,26,524,95,16,3,0,0,16,0,0,0,0,0,0,9,18,1,137,0,0,2,0.2,0.4,4.8,0.5,10.9,0,0,0,0,0,0,0,0,0,0
01287,D. Greek yogurt,1,Yogurt. Greek. plain. lowfat,,,73,10,2,4,0,84,115,0,11,137,141,34,1,0,0,12,1,0,0,0,0,0,12,15,1,90,0,0,0,0.0,0.1,0.5,0.1,1.2,0.1,0.3,0.4,0.2,0.0,0.2,0.5,0.3,0.5,0.1
01175,D. Milk. lowfat 1g f,1,Milk. fluid. 1% fat. without added vitamin A and vitamin D,,,42,3,1,5,0,90,125,0,11,95,150,44,0,0,0,3,0,0,0,0,0,0,5,18,0,14,0,0,0,0.0,0.0,0.3,0.0,0.6,0,0.2,0.2,0.1,0.0,0.1,0.3,0.2,0.3,0.1
01056,D. Sour cream,1,Cream. sour. cultured,,,198,2,19,5,0,73,101,0,10,76,125,31,0,0,0,4,1,0,0,0,0,0,6,19,0,124,0,0,2,0.1,0.6,4.6,0.8,10.1,0.8,0.2,0.2,0.1,0.0,0.1,0.3,0.2,0.3,0.1
01118,D. Yogurt,1,Yogurt. plain. skim milk,,,56,6,0,8,0,85,199,0,19,157,255,77,1,0,0,4,1,0,0,0,1,0,12,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
09003,F. Apple,1,Apples. raw. with skin (Includes foods for USDA's Food Distribution Program),,,52,0,0,14,2,86,6,0,5,11,107,1,0,0,0,0,5,0,0,0,0,0,3,3,0,3,0,0,2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09021,F. Apricots,1,Apricots. raw,,,48,1,0,11,2,86,13,0,10,23,259,1,0,0,0,0,10,0,0,1,0,0,9,3,0,96,1,0,3,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0
09037,F. Avocados,1,Avocados. raw. all commercial varieties,,,160,2,15,9,7,73,12,1,29,52,485,7,1,0,0,0,10,0,0,2,1,0,81,14,0,7,2,0,21,0.1,1.7,9.8,1.8,2.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0
09040,F. Banana,1,Bananas. raw,,,89,1,0,23,3,75,5,0,27,22,358,1,0,0,0,1,9,0,0,1,0,0,20,10,0,3,0,0,1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1
09050,F. Blueberries,1,Blueberries. raw,,,57,1,0,14,2,84,6,0,6,12,77,1,0,0,0,0,10,0,0,0,0,0,6,6,0,3,1,0,19,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09181,F. Cantalupe,1,Melons. cantaloupe. raw,,,34,1,0,8,1,90,9,0,12,15,267,16,0,0,0,0,37,0,0,1,0,0,21,8,0,169,0,0,3,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09078,F. Cranberries,1,Cranberries. raw,,,46,0,0,12,4,87,8,0,6,11,80,2,0,0,0,0,14,0,0,0,0,0,1,6,0,3,1,0,5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
09089,F. Figs,1,Figs. raw,,,74,1,0,19,3,79,35,0,17,14,232,1,0,0,0,0,2,0,0,0,0,0,6,5,0,7,0,0,5,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09132,F. Grapes,1,Grapes. red or green (European type. such as Thompson seedless). raw,,,69,1,0,18,1,81,10,0,7,20,191,2,0,0,0,0,3,0,0,0,0,0,2,6,0,3,0,0,15,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09148,F. Kiwi,1,Kiwifruit. green. raw,,,61,1,1,15,3,83,34,0,17,34,312,3,0,0,0,0,93,0,0,0,0,0,25,8,0,4,1,0,40,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0
09218,F. Mandarin oranges,1,Tangerines. (mandarin oranges). raw,,,53,1,0,13,2,85,37,0,12,20,166,2,0,0,0,0,27,0,0,0,0,0,16,10,0,34,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09176,F. Mango,1,Mangos. raw,,,60,1,0,15,2,83,11,0,10,14,168,1,0,0,0,1,36,0,0,1,0,0,43,8,0,54,1,0,4,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0
09184,F. Melons,1,Melons. honeydew. raw,,,36,1,0,9,1,90,6,0,10,11,228,18,0,0,0,1,18,0,0,0,0,0,19,8,0,3,0,0,3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09193,F. Olives. black,1,Olives. ripe. canned (small-extra large),,,116,1,11,6,2,80,88,6,4,3,8,735,0,0,0,1,1,0,0,0,0,0,0,10,0,17,2,0,1,0.0,0.6,7.7,0.6,2.3,0.0,0.0,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0
09195,F. Olives. green,1,Olives. pickled. canned or bottled. green,,,145,1,15,4,3,75,52,0,11,4,42,1556,0,0,0,1,0,0,0,0,0,0,3,14,0,20,4,0,1,0.1,1.2,11.3,1.3,2.0,0.0,0,0,0,0,0,0,0,0,0
09206,F. Orange. juice. home made,1,Orange juice. raw (Includes foods for USDA's Food Distribution Program),,,45,1,0,10,0,88,11,0,11,17,200,1,0,0,0,0,50,0,0,0,0,0,30,6,0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09226,F. Papaya,1,Papayas. raw,,,43,0,0,11,2,88,20,0,21,10,182,8,0,0,0,1,61,0,0,0,0,0,37,6,0,47,0,0,3,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09236,F. Peach,1,Peaches. yellow. raw,,,39,1,0,10,2,89,6,0,9,20,190,0,0,0,0,0,7,0,0,1,0,0,4,6,0,16,1,0,3,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09252,F. Pear,1,Pears. raw,,,57,0,0,15,3,84,9,0,7,12,116,1,0,0,0,0,4,0,0,0,0,0,7,5,0,1,0,0,4,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09265,F. Persimmons,1,Persimmons. native. raw,,,127,1,0,34,0,64,27,3,0,26,310,1,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
09266,F. Pineapple,1,Pineapple. raw. all varieties,,,50,1,0,13,1,86,13,0,12,8,109,1,0,0,1,0,48,0,0,1,0,0,18,6,0,3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09286,F. Pomegranates,1,Pomegranates. raw,,,83,2,1,19,4,78,10,0,12,36,236,3,0,0,0,1,10,0,0,0,0,0,38,8,0,0,1,0,16,0.0,0.1,0.1,0.1,0.1,0.0,0,0,0,0,0,0,0,0,0
09302,F. Raspberries,1,Raspberries. raw,,,52,1,1,12,7,86,25,1,22,29,151,1,0,0,1,0,26,0,0,1,0,0,21,12,0,2,1,0,8,0.1,0.2,0.1,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0
11477,F. Squash,1,Squash. summer. zucchini. includes skin. raw,,,17,1,0,3,1,95,16,0,18,38,261,8,0,0,0,0,18,0,0,0,0,0,24,10,0,10,0,0,4,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0
09316,F. Strawberries,1,Strawberries. raw,,,32,1,0,8,2,91,16,0,13,24,153,1,0,0,0,0,59,0,0,0,0,0,24,6,0,1,0,0,2,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11529,F. Tomato fresh,1,Tomatoes. red. ripe. raw. year round average,,,18,1,0,4,1,95,10,0,11,24,237,5,0,0,0,0,14,0,0,1,0,0,15,7,0,42,1,0,8,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09326,F. Watermelon,1,Watermelon. raw,,,30,1,0,8,0,91,7,0,10,11,112,1,0,0,0,0,8,0,0,0,0,0,3,4,0,28,0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
23572,M. Beef,1,Beef. ground. 80% lean meat / 20% fat. raw,,,254,17,20,0,0,62,18,2,17,158,270,66,4,0,0,15,0,0,0,4,0,0,7,56,2,4,0,0,2,0.1,0.4,8.8,0.5,7.6,1.2,0.7,0.8,0.7,0.1,0.4,1.3,0.8,1.4,0.6
13327,M. Beef liver,1,Beef. variety meats and by-products. liver. cooked. pan-fried,,,175,27,5,5,0,62,6,6,22,485,351,77,5,15,0,33,1,0,3,17,7,1,260,418,83,7744,0,1,4,0.0,0.0,1.1,1.0,2.5,0.3,1.4,1.6,1.1,0.3,0.7,2.4,1.2,2.0,0.8
05096,M. Chicken thighs bio,1,Chicken. broilers or fryers. dark meat. thigh. meat only. raw,,,121,20,4,0,0,76,7,1,23,185,242,95,2,0,0,23,0,0,0,6,0,0,4,54,1,7,0,0,3,0.0,0.7,1.5,0.9,1.1,0.0,0.8,1.0,0.9,0.2,0.6,1.7,0.9,1.9,0.6
05314,M. Chicken. skin-boneless. 3g f,1,Chicken. broilers or fryers. breast. skinless. boneless. meat only. with added solution. raw,,,108,20,3,0,0,76,5,0,25,198,332,173,1,0,0,26,0,0,0,8,1,1,8,74,0,11,0,0,0,0.0,0.3,0.7,0.4,0.5,0.0,0.8,1.0,0.9,0.2,0.5,1.6,1.0,1.9,0.7
15015,M. Cod,1,Fish. cod. Atlantic. raw,,,82,18,1,0,0,81,16,0,32,203,413,54,0,0,0,33,1,0,0,2,0,0,7,65,1,12,1,1,0,0.0,0.0,0.1,0.2,0.1,0,0.7,0.9,0.8,0.2,0.5,1.4,0.8,1.6,0.5
